Date,Open,High,Low,Close,Volume,Adj Close
2012-09-10,1.80,1.93,1.71,1.92,794800,19.20
2012-09-07,1.96,1.98,1.73,1.75,1747900,17.50
2012-09-06,2.39,2.40,2.00,2.01,2168600,20.10
2012-09-05,2.54,2.55,2.42,2.46,703200,24.60
2012-09-04,2.65,2.70,2.53,2.54,646000,25.40
2012-08-31,2.71,2.79,2.58,2.61,840500,26.10
2012-08-30,2.75,2.80,2.69,2.76,846600,27.60
2012-08-29,2.64,2.66,2.56,2.66,561500,26.60
2012-08-28,2.64,2.65,2.56,2.65,398100,26.50
2012-08-27,2.50,2.59,2.46,2.58,587600,25.80
2012-08-24,2.75,2.78,2.50,2.54,902400,25.40
2012-08-23,2.67,2.77,2.65,2.71,949300,27.10
2012-08-22,2.70,2.74,2.58,2.61,1090700,26.10
2012-08-21,2.48,2.65,2.40,2.62,1364400,26.20
2012-08-20,2.55,2.63,2.49,2.51,911600,25.10
2012-08-17,2.58,2.63,2.46,2.51,877200,25.10
2012-08-16,2.68,2.75,2.59,2.62,558000,26.20
2012-08-15,2.69,2.72,2.59,2.70,430700,27.00
2012-08-14,2.51,2.69,2.45,2.68,865600,26.80
2012-08-13,2.61,2.63,2.46,2.47,923200,24.70
2012-08-10,2.73,2.76,2.58,2.61,512000,26.10
2012-08-09,2.76,2.78,2.64,2.66,556400,26.60
2012-08-08,2.89,2.94,2.69,2.72,694000,27.20
2012-08-07,2.70,2.92,2.67,2.92,1016500,29.20
2012-08-06,2.88,2.90,2.77,2.82,671900,28.20
2012-08-03,3.17,3.19,3.00,3.01,1079700,30.10
2012-08-02,3.64,3.71,3.35,3.35,1001700,33.50
2012-08-01,3.50,3.65,3.41,3.47,812900,34.70
2012-07-31,3.58,3.65,3.45,3.60,615100,36.00
2012-07-30,3.31,3.50,3.25,3.45,844200,34.50
2012-07-27,3.33,3.46,3.28,3.36,826600,33.60
2012-07-26,3.62,3.79,3.52,3.53,931500,35.30
2012-07-25,4.06,4.40,3.95,4.09,1026600,40.90
2012-07-24,3.90,4.35,3.85,4.15,1464800,41.50
2012-07-23,3.94,4.18,3.80,3.90,1361000,39.00
2012-07-20,3.35,3.54,3.26,3.43,635800,34.30
2012-07-19,3.20,3.35,3.15,3.17,595000,31.70
2012-07-18,3.22,3.30,3.12,3.23,554400,32.30
2012-07-17,3.34,3.53,3.15,3.21,1024600,32.10
2012-07-16,3.60,3.68,3.40,3.45,722800,34.50
2012-07-13,3.91,3.93,3.61,3.62,1062400,36.20
2012-07-12,4.11,4.25,3.90,3.99,913200,39.90
2012-07-11,4.20,4.28,3.88,3.93,843500,39.30
2012-07-10,3.91,4.33,3.83,4.19,932400,41.90
2012-07-09,4.09,4.21,3.99,4.06,709300,40.60
2012-07-06,4.46,4.47,4.11,4.17,726600,41.70
2012-07-05,4.10,4.34,4.08,4.21,1074300,42.10
2012-07-03,4.16,4.18,3.85,4.06,790200,40.60
2012-07-02,4.80,4.85,4.17,4.22,1239800,42.20
2012-06-29,5.02,5.07,4.88,4.91,1103100,49.10
2012-06-28,5.90,6.02,5.45,5.48,1075700,54.80
2012-06-27,5.65,5.79,5.51,5.73,886600,57.30
2012-06-26,5.74,6.12,5.61,5.72,1111900,57.20
2012-06-25,5.99,6.23,5.84,5.97,1339200,59.70
2012-06-22,6.20,6.30,5.38,5.51,1497500,55.10
2012-06-21,5.95,6.45,5.81,6.43,2091500,64.30
2012-06-20,6.18,6.45,5.85,5.85,2655800,58.50
2012-06-19,6.08,6.31,6.07,6.18,1439900,61.80
2012-06-18,7.08,7.27,6.39,6.41,2364600,64.10
2012-06-15,7.52,7.77,7.00,7.19,1557400,71.90
2012-06-14,8.51,8.74,7.75,7.76,2111300,77.60
2012-06-13,8.23,8.80,7.81,8.52,1802900,85.20
2012-06-12,8.04,8.53,7.79,7.86,2040500,78.60
2012-06-11,6.80,8.23,6.72,8.11,1876700,81.10
