Date,Open,High,Low,Close,Volume,Adj Close
2012-06-19,11.72,12.46,11.60,12.09,172800,1209.00
2012-06-18,14.96,15.25,12.62,12.64,178900,1264.00
2012-06-15,16.27,16.74,14.80,15.18,119200,1518.00
2012-06-14,18.67,19.25,16.55,16.63,172900,1663.00
2012-06-13,18.05,19.50,17.06,18.92,153500,1892.00
2012-06-12,17.54,18.81,16.96,17.21,189900,1721.00
2012-06-11,14.23,17.97,14.07,17.85,132900,1785.00
2012-06-08,17.44,17.60,15.33,15.41,107500,1541.00
2012-06-07,16.02,17.46,15.84,17.18,125000,1718.00
2012-06-06,19.32,19.65,17.60,17.65,98800,1765.00
2012-06-05,22.02,22.08,20.27,20.62,91900,2062.00
2012-06-04,22.50,24.09,21.46,21.60,131400,2160.00
2012-06-01,23.05,23.62,21.88,23.47,157000,2347.00
2012-05-31,19.80,21.89,18.67,20.02,171800,2002.00
2012-05-30,18.14,19.57,18.14,19.57,90100,1957.00
2012-05-29,17.98,18.69,17.17,17.25,115300,1725.00
2012-05-25,19.45,19.73,18.90,19.10,102000,1910.00
2012-05-24,18.94,21.01,18.71,19.50,148000,1950.00
2012-05-23,20.96,22.19,18.81,19.21,157100,1921.00
2012-05-22,18.04,21.10,16.50,19.86,132200,1986.00
2012-05-21,23.72,24.43,18.51,18.56,135200,1856.00
2012-05-18,20.93,24.87,20.68,24.08,178700,2408.00
2012-05-17,19.19,21.32,18.70,21.32,167300,2132.00
2012-05-16,17.61,19.61,17.04,19.42,139900,1942.00
2012-05-15,16.63,18.33,15.99,18.19,129500,1819.00
2012-05-14,16.12,16.62,15.68,16.56,140100,1656.00
2012-05-11,15.16,15.20,13.91,14.83,122800,1483.00
2012-05-10,14.51,14.91,14.06,14.42,96700,1442.00
2012-05-09,15.73,16.33,14.51,15.45,162900,1545.00
2012-05-08,14.62,16.12,14.17,14.34,150400,1434.00
2012-05-07,15.23,15.32,13.73,14.07,83500,1407.00
2012-05-04,13.60,14.94,13.55,14.57,119200,1457.00
2012-05-03,12.62,13.67,12.42,13.33,79200,1333.00
2012-05-02,13.15,13.40,12.55,12.78,67900,1278.00
2012-05-01,13.33,13.42,12.25,12.57,82000,1257.00
2012-04-30,13.18,13.57,13.00,13.44,53800,1344.00
2012-04-27,12.80,13.38,12.62,12.84,71100,1284.00
2012-04-26,13.96,14.08,12.68,12.93,78500,1293.00
2012-04-25,14.56,14.69,13.86,13.92,79800,1392.00
2012-04-24,16.47,16.67,15.81,15.81,60700,1581.00
2012-04-23,17.12,17.80,16.43,16.60,102800,1660.00
2012-04-20,15.98,16.04,15.28,15.63,94000,1563.00
2012-04-19,16.32,17.65,15.60,16.68,101100,1668.00
2012-04-18,16.32,16.81,15.58,16.37,52500,1637.00
2012-04-17,16.68,16.82,15.52,15.98,66800,1598.00
2012-04-16,17.24,19.21,16.86,17.90,88300,1790.00
2012-04-13,16.67,18.64,16.64,18.59,65400,1859.00
2012-04-12,19.86,20.10,16.77,16.90,66400,1690.00
2012-04-11,19.29,20.66,18.83,20.40,45900,2040.00
2012-04-10,18.61,21.50,18.11,21.42,73100,2142.00
2012-04-09,18.37,18.50,17.09,18.44,55500,1844.00
2012-04-05,16.46,16.64,15.55,16.36,50100,1636.00
2012-04-04,16.51,17.24,15.40,15.70,71600,1570.00
2012-04-03,14.38,15.87,14.14,15.02,54400,1502.00
2012-04-02,14.69,14.84,13.50,14.52,42200,1452.00
2012-03-30,14.08,15.28,14.00,14.56,38400,1456.00
2012-03-29,17.39,17.39,15.02,15.38,53000,1538.00
2012-03-28,15.22,18.20,14.75,15.46,69700,1546.00
2012-03-27,13.14,15.34,13.04,15.28,41200,1528.00
2012-03-26,14.43,14.50,12.60,12.75,37600,1275.00
2012-03-23,17.96,18.56,15.54,15.66,57700,1566.00
2012-03-22,19.25,19.94,17.78,18.17,55100,1817.00
2012-03-21,18.91,19.50,17.34,17.80,57000,1780.00
2012-03-20,22.73,23.09,19.72,19.74,56900,1974.00
2012-03-19,24.50,24.65,21.45,21.85,55700,2185.00
2012-03-16,24.60,25.43,24.39,24.77,29200,2477.00
2012-03-15,26.30,26.67,24.86,24.86,37800,2486.00
2012-03-14,23.78,26.96,23.69,25.69,41300,2569.00
2012-03-13,25.05,25.43,23.74,24.17,49400,2417.00
2012-03-12,28.48,28.60,26.39,26.59,37900,2659.00
2012-03-09,29.62,29.74,28.05,29.29,35000,2929.00
2012-03-08,31.39,31.69,30.10,30.51,24000,3051.00
2012-03-07,5.98,6.06,5.52,5.55,2800,3330.65
2012-03-06,6.00,6.24,5.78,6.14,21600,3685.36
2012-03-05,5.43,5.55,5.28,5.33,13700,3198.38
2012-03-02,5.28,5.46,5.19,5.38,9100,3228.44
2012-03-01,5.44,5.49,5.22,5.30,11200,3180.35
2012-02-29,5.51,5.77,5.30,5.50,15700,3300.59
2012-02-28,5.96,6.00,5.66,5.70,7000,3420.83
2012-02-27,6.13,6.18,5.48,5.83,11400,3498.98
2012-02-24,5.22,5.79,5.14,5.74,9200,3444.88
2012-02-23,6.15,6.26,5.28,5.37,8600,3222.43
2012-02-22,6.58,6.63,6.11,6.14,3900,3685.36
2012-02-21,6.36,6.69,6.31,6.49,2800,3895.78
2012-02-17,6.47,6.83,6.35,6.61,3000,3967.92
2012-02-16,7.60,7.87,6.64,6.69,4100,4016.02
2012-02-15,6.65,7.38,6.64,7.28,4500,4370.72
2012-02-14,6.36,7.30,6.34,6.54,2900,3925.84
2012-02-13,6.49,6.68,6.16,6.17,1700,3703.39
2012-02-10,6.87,8.04,6.74,7.27,2800,4364.71
2012-02-09,5.71,6.22,5.62,6.21,1600,3727.44
2012-02-08,5.40,5.72,5.35,5.65,1100,3390.77
2012-02-07,5.35,5.55,5.30,5.40,1000,3240.47
2012-02-06,5.53,5.56,5.31,5.32,700,3192.37
2012-02-03,5.58,5.69,5.45,5.45,1500,3270.53
